t_sec,area_coverage,repeat_coverage
12.83,0.004560,0.284926
16.24,0.008287,0.350184
31.23,0.008991,0.436029
34.13,0.009213,0.601420
39.02,0.009495,0.659664
62.03,0.020085,0.353884
65.26,0.038477,0.000000
68.64,0.054752,0.000000
89.95,0.070536,0.000000
93.13,0.092748,0.000000
96.62,0.116450,0.000000
112.38,0.134460,0.000000
115.26,0.150525,0.000000
118.22,0.167809,0.000000
135.34,0.180269,0.000000
138.63,0.201972,0.000000
141.57,0.225773,0.000000
150.93,0.245594,0.000000
164.07,0.252170,0.000000
173.61,0.266295,0.000000
176.52,0.286843,0.000000
179.98,0.306793,0.000000
213.45,0.315497,0.000000
225.98,0.332886,0.000000
234.78,0.348107,0.000000
250.36,0.357513,0.000000
265.58,0.376215,0.000000
282.03,0.383342,0.000000
304.74,0.397473,0.000000
315.24,0.401294,0.000000
323.35,0.412693,0.000000
326.27,0.436571,0.000000
343.51,0.452495,0.000000
364.07,0.469087,0.000000
367.38,0.487601,0.000000
370.28,0.507030,0.000000
383.70,0.510529,0.000000
404.55,0.515692,0.000000
407.96,0.530620,0.000000
411.30,0.545102,0.000000
427.06,0.558940,0.000000
430.31,0.576112,0.000000
433.24,0.586439,0.000000
453.22,0.587594,0.000000
456.14,0.588022,0.000000
466.36,0.588022,0.000000
486.14,0.588637,0.000000
497.13,0.602621,0.000000
500.39,0.620051,0.000000
508.48,0.635512,0.000000
515.54,0.649139,0.000000
547.25,0.651067,0.000000
561.08,0.658053,0.000000
564.27,0.681889,0.000000
567.49,0.705725,0.000000
597.50,0.720202,0.000000
600.65,0.725225,0.000000
603.60,0.748990,0.000000
613.80,0.749823,0.000000
629.60,0.750180,0.000000
641.62,0.752120,0.000000
651.45,0.765887,0.000000
666.49,0.781817,0.000000
682.52,0.792906,0.000000
689.90,0.800683,0.000000
698.17,0.805501,0.000000
